"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"U3","LC-LQFP-48_7x7x05P","11.188mm","14.492mm","11.188mm","14.492mm","8.438mm","10.442mm","T","360.00","STM32F051C8T6"
"Q1","LC-SOT-23(SOT-23-3)","10.722mm","6.731mm","10.722mm","6.731mm","11.972mm","5.781mm","T","360.00","Si2301CDS"
"C5","C0603","28.448mm","11.622mm","28.448mm","12.322mm","28.448mm","12.322mm","T","270.00","100nF"
"M1","HDR2X4","3.048mm","11.684mm","1.778mm","15.494mm","1.778mm","15.494mm","T","270.00","NRF2401"
"C23","C0603","29.464mm","17.334mm","29.464mm","18.034mm","29.464mm","18.034mm","T","270.00","100nF"
"C21","C0603","19.304mm","12.127mm","19.304mm","12.827mm","19.304mm","12.827mm","T","270.00","100nF"
"P6","PH-2Y","7.6mm","2.7mm","6.6mm","2.7mm","6.6mm","2.7mm","T","360.00","RX"
"P5","PH-2Y","14.1mm","2.7mm","13.1mm","2.7mm","13.1mm","2.7mm","T","360.00","TX"
"P4","PH-2Y","32.2mm","16mm","32.2mm","15mm","32.2mm","15mm","T","90.00","Motor"
"P2","PH-2Y","20.6mm","2.7mm","19.6mm","2.7mm","19.6mm","2.7mm","T","360.00","BAT"
"P1","PH-2Y","27.1mm","2.7mm","26.1mm","2.7mm","26.1mm","2.7mm","T","360.00","5V IN"
"FB1","R0603","16.383mm","11.368mm","16.383mm","10.668mm","16.383mm","10.668mm","B","90.00","GZ1608D601TF"
"D2","LC-SOT-23(SOT-23-3)","20.34mm","6.919mm","20.34mm","6.919mm","21.59mm","7.869mm","B","360.00","PESD3V3L2BT"
"D1","LC-SMA(DO-214AC)_S2","33.274mm","8.568mm","33.274mm","8.568mm","33.274mm","6.468mm","T","270.00","SS14"
"C20","C0603","14.732mm","11.368mm","14.732mm","12.068mm","14.732mm","12.068mm","B","270.00","100nF"
"C19","C0805","21.082mm","7.239mm","21.082mm","7.239mm","21.082mm","6.223mm","T","90.00","10uF"
"C17","C0603","11.811mm","11.365mm","11.811mm","12.065mm","11.811mm","12.065mm","B","270.00","100nF"
"C16","C0805","22.733mm","15.24mm","22.733mm","15.24mm","22.733mm","14.224mm","T","90.00","10uF"
"C15","C0603","3.367mm","17.399mm","2.667mm","17.399mm","2.667mm","17.399mm","B","360.00","100nF"
"C14","C0805","25.527mm","15.24mm","25.527mm","15.24mm","25.527mm","14.224mm","T","90.00","10uF"
"C13","C0603","27.432mm","14.794mm","27.432mm","14.094mm","27.432mm","14.094mm","T","90.00","100nF"
"C11","C0603","20.828mm","15.178mm","20.828mm","14.478mm","20.828mm","14.478mm","T","90.00","100nF"
"C10","C0603","16.764mm","6.669mm","16.764mm","7.369mm","16.764mm","7.369mm","T","270.00","100nF"
"C7","C0805","18.796mm","7.239mm","18.796mm","7.239mm","18.796mm","8.255mm","T","270.00","10uF"
"C6","C0603","17.907mm","11.365mm","17.907mm","10.665mm","17.907mm","10.665mm","B","90.00","100nF"
"C4","C0805","27.94mm","7.239mm","27.94mm","7.239mm","27.94mm","8.255mm","T","270.00","10uF"
"C3","C0603","23.622mm","7.177mm","23.622mm","6.477mm","23.622mm","6.477mm","T","90.00","100nF"
"C2","C0805","25.654mm","7.239mm","25.654mm","7.239mm","25.654mm","8.255mm","T","270.00","10uF"
"C1","C0603","24.511mm","6.666mm","24.511mm","5.966mm","24.511mm","5.966mm","B","90.00","100nF"
"D3","LC-0603_LED_S4","19.431mm","15.24mm","19.431mm","15.24mm","19.431mm","14.47mm","T","270.00","LEDV1"
"R1","R0603","28.067mm","6.666mm","28.067mm","7.366mm","28.067mm","7.366mm","B","270.00","10K"
"R2","R0603","26.289mm","6.666mm","26.289mm","5.966mm","26.289mm","5.966mm","B","90.00","10K"
"R5","R0603","26.924mm","11.619mm","26.924mm","10.919mm","26.924mm","10.919mm","T","90.00","10K"
"R6","R0603","15.24mm","6.669mm","15.24mm","5.969mm","15.24mm","5.969mm","T","90.00","1K"
"R7","R0603","10.16mm","11.368mm","10.16mm","12.068mm","10.16mm","12.068mm","B","270.00","100K"
"R8","R0603","6.604mm","6.669mm","6.604mm","7.369mm","6.604mm","7.369mm","T","270.00","100K"
"R9","R0603","13.208mm","15.813mm","13.208mm","15.113mm","13.208mm","15.113mm","B","90.00","10K"
"U1","LC-SOT-23-5","22.352mm","11.364mm","22.352mm","11.364mm","23.752mm","10.414mm","T","360.00","MIC5205-3.3YM5"
"U2","LC-WSON-8_2x2mm_-_DRV8837","24.13mm","20.447mm","24.13mm","20.447mm","25.08mm","19.697mm","T","90.00","DRV8837DSGR"
"F1","R0805","30.353mm","8.255mm","30.353mm","8.255mm","30.353mm","7.239mm","T","90.00","SMD0805-110"
"R4","R0603","25.4mm","11.622mm","25.4mm","10.922mm","25.4mm","10.922mm","T","90.00","100K"
"R10","R0603","13.716mm","6.669mm","13.716mm","7.369mm","13.716mm","7.369mm","T","270.00","100K"
"R11","R0603","8.128mm","6.669mm","8.128mm","7.369mm","8.128mm","7.369mm","T","270.00","100"
"C8","C0603","8.509mm","11.368mm","8.509mm","12.068mm","8.509mm","12.068mm","B","270.00","100nF"
"C9","C0603","14.986mm","15.813mm","14.986mm","15.113mm","14.986mm","15.113mm","B","90.00","100nF"
"R3","R0603","17.78mm","15.175mm","17.78mm","14.475mm","17.78mm","14.475mm","T","90.00","1.5K"
"P3","HDR1X5","12.192mm","21.971mm","17.272mm","21.971mm","17.272mm","21.971mm","T","180.00","SWD"

